Region,Sex,Year,Lower,Median,Upper
Sub-Saharan Africa,Female,2006,239146,248003,259072
Sub-Saharan Africa,Female,2007,235989,244793,255631
Sub-Saharan Africa,Female,2008,233670,242755,253670
Sub-Saharan Africa,Female,2009,230033,239264,250381
Sub-Saharan Africa,Female,2010,227932,237537,248990
Sub-Saharan Africa,Female,2011,225407,235427,247356
Sub-Saharan Africa,Female,2012,222126,232863,245322
Sub-Saharan Africa,Female,2013,220137,231614,244849
Sub-Saharan Africa,Female,2014,218303,230854,245321
Sub-Saharan Africa,Female,2015,216020,230032,245673
Sub-Saharan Africa,Female,2016,214011,229105,246248
Sub-Saharan Africa,Female,2017,211846,228433,247022
Sub-Saharan Africa,Female,2018,209925,227819,248029
Sub-Saharan Africa,Female,2019,208092,227471,249507
Sub-Saharan Africa,Female,2020,205189,226241,250631
Sub-Saharan Africa,Female,2021,202202,224931,251804
Sub-Saharan Africa,Female,2022,199059,223487,253460
Sub-Saharan Africa,Male,1990,256996,284339,303295
Sub-Saharan Africa,Male,1991,263195,285342,302724
Sub-Saharan Africa,Male,1992,271186,289839,306503
Sub-Saharan Africa,Male,1993,279463,295724,311733
Sub-Saharan Africa,Male,1994,314881,331920,351805
Sub-Saharan Africa,Male,1995,277249,290162,304830
Sub-Saharan Africa,Male,1996,277791,289732,303682
Sub-Saharan Africa,Male,1997,278120,289407,302872
Sub-Saharan Africa,Male,1998,276452,287029,300213
Sub-Saharan Africa,Male,1999,273782,283887,296509
Sub-Saharan Africa,Male,2000,271024,280857,293321
Sub-Saharan Africa,Male,2001,268527,278163,290335
Sub-Saharan Africa,Male,2002,265891,275453,287524
Sub-Saharan Africa,Male,2003,263377,272723,284663
Sub-Saharan Africa,Male,2004,260390,269753,281624
Sub-Saharan Africa,Male,2005,257690,266956,278865
Sub-Saharan Africa,Male,2006,254815,264265,275980
Sub-Saharan Africa,Male,2007,252222,261666,273319
Sub-Saharan Africa,Male,2008,250198,259843,271616
Sub-Saharan Africa,Male,2009,246911,256752,268471
Sub-Saharan Africa,Male,2010,245184,255533,267756
Sub-Saharan Africa,Male,2011,243091,253933,266501
Sub-Saharan Africa,Male,2012,240427,252118,265385
Sub-Saharan Africa,Male,2013,238951,251793,266220
Sub-Saharan Africa,Male,2014,238000,252105,267849
Sub-Saharan Africa,Male,2015,236943,252371,269474
Sub-Saharan Africa,Male,2016,235449,252691,271549
Sub-Saharan Africa,Male,2017,234276,253151,273924
Sub-Saharan Africa,Male,2018,232719,253396,276375
Sub-Saharan Africa,Male,2019,231457,253707,278792
Sub-Saharan Africa,Male,2020,229334,253226,280826
Sub-Saharan Africa,Male,2021,227130,252582,283698
Sub-Saharan Africa,Male,2022,224845,251941,286364
West and Central Africa,Female,1990,110663,125418,136911
West and Central Africa,Female,1991,112640,125954,136723
West and Central Africa,Female,1992,115192,126549,136937
West and Central Africa,Female,1993,116987,127118,137155
West and Central Africa,Female,1994,118466,127521,136985
West and Central Africa,Female,1995,119737,128066,137298
West and Central Africa,Female,1996,120722,128492,137369
West and Central Africa,Female,1997,121676,129058,137732
West and Central Africa,Female,1998,122266,129420,137751
West and Central Africa,Female,1999,122904,129831,137891
West and Central Africa,Female,2000,123704,130477,138363
West and Central Africa,Female,2001,124574,131209,138965
West and Central Africa,Female,2002,125243,131826,139581
West and Central Africa,Female,2003,125723,132336,140131
West and Central Africa,Female,2004,125846,132543,140317
West and Central Africa,Female,2005,126293,132990,140892
West and Central Africa,Female,2006,126586,133525,141450
West and Central Africa,Female,2007,127118,134135,142261
West and Central Africa,Female,2008,127754,135116,143482
West and Central Africa,Female,2009,128517,136079,144708
West and Central Africa,Female,2010,129110,137020,146009
West and Central Africa,Female,2011,129676,138003,147569
West and Central Africa,Female,2012,130359,139119,149322
West and Central Africa,Female,2013,130825,140245,151138
West and Central Africa,Female,2014,131548,141533,153312
West and Central Africa,Female,2015,131835,142627,155459
West and Central Africa,Female,2016,131529,143256,157254
West and Central Africa,Female,2017,131096,143948,159233
West and Central Africa,Female,2018,130228,144429,161200
West and Central Africa,Female,2019,129434,144966,163289
West and Central Africa,Female,2020,127624,144513,164757
West and Central Africa,Female,2021,125544,143991,166672
West and Central Africa,Female,2022,123292,143372,168078
West and Central Africa,Male,1990,116470,132060,143907
West and Central Africa,Male,1991,119102,132846,144070
West and Central Africa,Male,1992,121755,133665,144247
West and Central Africa,Male,1993,123821,134359,144384
West and Central Africa,Male,1994,125585,134923,144552
West and Central Africa,Male,1995,127124,135735,145186
West and Central Africa,Male,1996,128373,136409,145506
West and Central Africa,Male,1997,129592,137135,145995
West and Central Africa,Male,1998,130610,137883,146483
West and Central Africa,Male,1999,131400,138433,146921
West and Central Africa,Male,2000,132064,138877,147103
West and Central Africa,Male,2001,132657,139500,147632
West and Central Africa,Male,2002,133305,140115,148104
West and Central Africa,Male,2003,133828,140691,148605
West and Central Africa,Male,2004,134205,141169,149201
West and Central Africa,Male,2005,134730,141866,149987
West and Central Africa,Male,2006,135478,142806,151212
West and Central Africa,Male,2007,136363,143857,152472
West and Central Africa,Male,2008,137059,144760,153611
West and Central Africa,Male,2009,137642,145751,154939
West and Central Africa,Male,2010,138144,146779,156543
West and Central Africa,Male,2011,138681,147788,158058
West and Central Africa,Male,2012,139260,149050,160054
West and Central Africa,Male,2013,140022,150452,162400
West and Central Africa,Male,2014,140950,152085,165164
West and Central Africa,Male,2015,141438,153508,167713
West and Central Africa,Male,2016,141723,154742,170048
West and Central Africa,Male,2017,141859,155961,172906
West and Central Africa,Male,2018,141178,156766,175263
West and Central Africa,Male,2019,140562,157550,177658
West and Central Africa,Male,2020,139006,157479,179678
West and Central Africa,Male,2021,136922,157252,181859
West and Central Africa,Male,2022,135104,157017,184099
Eastern and Southern Africa,Female,1990,123172,140081,153066
Eastern and Southern Africa,Female,1991,126400,139997,151765
Eastern and Southern Africa,Female,1992,131829,143203,154496
Eastern and Southern Africa,Female,1993,137153,147247,158139
Eastern and Southern Africa,Female,1994,170265,183529,200025
Eastern and Southern Africa,Female,1995,133561,141881,151659
Eastern and Southern Africa,Female,1996,133793,141474,150772
Eastern and Southern Africa,Female,1997,133928,141359,150410
Eastern and Southern Africa,Female,1998,132076,139221,147941
Eastern and Southern Africa,Female,1999,129454,136473,144872
Eastern and Southern Africa,Female,2000,126840,133649,141975
Eastern and Southern Africa,Female,2001,124275,130827,139085
Eastern and Southern Africa,Female,2002,121413,127856,135931
Eastern and Southern Africa,Female,2003,118357,124733,132744
Eastern and Southern Africa,Female,2004,115328,121549,129438
Eastern and Southern Africa,Female,2005,112035,118091,125738
Eastern and Southern Africa,Female,2006,108512,114478,121818
Eastern and Southern Africa,Female,2007,104784,110658,117752
Eastern and Southern Africa,Female,2008,101867,107639,114474
Eastern and Southern Africa,Female,2009,97492,103185,109849
Eastern and Southern Africa,Female,2010,94778,100517,107223
Eastern and Southern Africa,Female,2011,91480,97424,104193
Eastern and Southern Africa,Female,2012,87541,93744,100575
Eastern and Southern Africa,Female,2013,84403,91369,98458
Eastern and Southern Africa,Female,2014,81269,89321,96967
Eastern and Southern Africa,Female,2015,78216,87405,95777
Eastern and Southern Africa,Female,2016,75342,85849,94977
Eastern and Southern Africa,Female,2017,73230,84485,94358
Eastern and Southern Africa,Female,2018,71745,83390,94109
Eastern and Southern Africa,Female,2019,70354,82505,93824
Eastern and Southern Africa,Female,2020,69087,81728,94016
Eastern and Southern Africa,Female,2021,68069,80940,94385
Eastern and Southern Africa,Female,2022,66996,80115,94504
Eastern and Southern Africa,Male,1990,134277,152279,166135
Eastern and Southern Africa,Male,1991,137911,152496,165138
Eastern and Southern Africa,Male,1992,143959,156174,168254
Eastern and Southern Africa,Male,1993,150604,161365,173028
Eastern and Southern Africa,Male,1994,183765,196997,213572
Eastern and Southern Africa,Male,1995,145457,154427,165122
Eastern and Southern Africa,Male,1996,144953,153323,163507
Eastern and Southern Africa,Male,1997,144331,152272,162087
Eastern and Southern Africa,Male,1998,141449,149146,158693
Eastern and Southern Africa,Male,1999,137958,145454,154634
Eastern and Southern Africa,Male,2000,134811,141980,150921
Eastern and Southern Africa,Male,2001,131656,138663,147471
Eastern and Southern Africa,Male,2002,128474,135338,144056
Eastern and Southern Africa,Male,2003,125343,132032,140563
Eastern and Southern Africa,Male,2004,121988,128584,137155
Eastern and Southern Africa,Male,2005,118687,125090,133322
Eastern and Southern Africa,Male,2006,115210,121459,129503
Eastern and Southern Africa,Male,2007,111638,117809,125365
Eastern and Southern Africa,Male,2008,108958,115083,122248
Eastern and Southern Africa,Male,2009,104986,111001,117919
Eastern and Southern Africa,Male,2010,102522,108754,115799
Eastern and Southern Africa,Male,2011,99671,106145,113330
Eastern and Southern Africa,Male,2012,96117,103068,110346
Eastern and Southern Africa,Male,2013,93580,101341,109219
Eastern and Southern Africa,Male,2014,91038,100020,108745
Eastern and Southern Africa,Male,2015,88191,98863,108692
Eastern and Southern Africa,Male,2016,85992,97949,108885
Eastern and Southern Africa,Male,2017,84016,97190,109203
Eastern and Southern Africa,Male,2018,82811,96630,109831
Eastern and Southern Africa,Male,2019,81558,96157,110598
Eastern and Southern Africa,Male,2020,80890,95747,111301
Eastern and Southern Africa,Male,2021,80041,95330,112270
Eastern and Southern Africa,Male,2022,79186,94924,113157
Middle East and North Africa,Female,1990,31704,33916,36790
Middle East and North Africa,Female,1991,25910,27319,29048
Middle East and North Africa,Female,1992,24990,26330,27958
